42 2194 12908
517.306408 516.469215 318.64304 255.313989
0 3     3.585600e+02 2.318400e+02
0 5     3.533415e+02 2.090189e+02
0 9     3.110400e+02 1.918080e+02
0 13     4.233600e+02 2.174400e+02
0 14     6.220801e+01 2.189722e+02
0 15     2.301696e+02 1.741824e+02
0 16     8.957954e+01 2.149909e+02
0 17     1.730000e+02 1.600000e+02
0 18     1.728000e+02 1.607040e+02
0 22     2.508227e+02 1.522852e+02
0 23     1.224254e+02 1.522852e+02
0 25     1.814400e+02 1.368000e+02
0 27     3.000000e+02 1.020000e+02
0 28     3.480000e+01 1.416000e+02
0 29     1.161216e+02 8.916481e+01
0 31     3.360000e+02 9.360001e+01
0 33     2.723218e+02 1.146618e+02
0 34     3.352320e+02 9.504001e+01
0 37     1.658880e+02 1.019520e+02
0 38     1.642292e+02 1.015235e+02
0 40     3.180000e+02 6.960001e+01
0 43     9.000000e+01 2.280000e+01
0 45     1.980000e+02 3.408000e+02
0 46     4.368000e+02 3.660000e+02
0 48     3.170000e+02 1.270000e+02
0 49     2.902377e+02 1.182450e+02
0 50     2.177280e+02 1.209600e+02
0 52     2.836685e+02 8.211457e+01
0 54     3.276288e+02 5.806081e+01
0 58     4.648320e+02 4.216320e+02
0 60     3.225600e+02 2.736000e+02
0 61     5.400000e+02 1.728000e+02
0 62     2.592000e+02 2.772000e+02
0 63     2.136000e+02 2.280000e+02
0 64     1.310000e+02 2.950000e+02
0 66     1.800000e+02 2.750400e+02
0 77     3.000000e+02 4.080000e+02
0 78     2.995200e+02 4.075200e+02
0 81     3.583181e+02 3.782247e+02
0 82     1.526400e+02 2.606400e+02
0 84     1.451520e+02 2.350080e+02
0 87     1.731871e+02 1.970750e+02
0 88     2.390400e+02 1.540800e+02
0 90     2.687386e+02 1.965773e+02
0 94     2.923777e+02 1.119744e+02
0 98     2.737152e+02 2.363904e+02
0 99     2.609280e+02 2.782080e+02
0 101     1.382400e+02 2.750400e+02
0 102     5.266945e+02 3.151873e+02
0 103     5.100000e+02 3.200000e+02
0 104     2.400732e+02 1.970750e+02
0 105     5.700000e+02 1.692000e+02
0 106     2.420000e+02 3.160000e+02
0 107     4.636800e+02 4.204800e+02
0 108     1.728000e+02 2.964000e+02
0 111     4.636800e+02 4.334400e+02
0 112     4.769281e+02 4.230145e+02
0 113     4.777575e+02 4.180378e+02
0 114     5.126400e+02 4.060800e+02
0 115     2.347200e+02 4.420800e+02
0 117     6.393601e+01 4.302720e+02
0 119     4.807435e+02 3.881780e+02
0 128     5.944321e+02 2.989440e+02
0 129     2.772000e+02 2.364000e+02
0 141     2.300000e+02 1.740000e+02
0 145     1.175040e+02 1.866240e+02
0 146     3.060634e+02 1.269043e+02
0 150     4.872000e+02 4.164000e+02
0 151     4.867200e+02 4.161600e+02
0 152     2.090189e+02 2.896405e+02
0 175     1.176000e+02 1.512000e+02
0 177     1.648264e+02 1.361609e+02
0 178     2.540000e+02 1.120000e+02
0 179     2.840833e+02 8.294402e+01
0 180     5.018113e+02 3.670273e+02
0 183     3.259700e+02 2.662503e+02
0 186     5.270400e+02 3.945600e+02
0 187     2.290000e+02 3.510000e+02
